IRUC;NROESTABLEC;CIIU;CCDD;CCPP;CCDI;CODORGJURIDICA;CODREGPROPIEDAD;FecAniversario;CODSECTOR;CODFORMATO;texto1;texto2;texto3;texto4;FAC_EXP;;
17225;0;4220;15;1;31;14;2;1997;5;F2;1;1;0;0;1.226804124;;
159762;0;4220;15;1;31;14;2;2018;5;F2;1;1;0;0;1.226804124;;
14826;0;7730;15;1;40;14;2;1994;16;F2;1;1;0;0;1.217391;;
158322;0;4390;15;1;31;14;2;2014;5;F2;1;1;0;0;1.205882353;;
124583;0;4329;15;1;13;14;2;2013;5;F2;1;1;0;0;1.205882353;;
113355;0;4321;15;1;31;14;2;2012;5;F2;1;1;0;0;1.205882353;;
121956;0;1811;15;1;31;14;2;2015;11;D2;1;1;0;0;1.166666667;;
167019;0;1811;15;1;31;14;2;2016;11;D2;1;1;0;0;1.166666667;;
17062;0;5012;15;1;31;14;2;1997;13;F2;1;1;0;0;1.142857;;
31895;0;5120;7;1;1;14;2;2007;13;F2;1;1;0;0;1.111111;;
151945;0;5120;7;1;1;14;2;2015;13;F2;2;1;0;0;1.111111;;
18153;0;5110;7;1;1;14;2;1998;13;F2;1;1;0;0;1.111111;;
117155;0;4530;15;1;34;14;2;2011;4;F1;1;1;0;0;1.102702703;;
15453;0;620;15;1;31;14;2;1995;8;F2;1;1;0;0;1.045454545;;
14325;0;610;15;1;22;14;2;1994;8;F2;1;1;0;0;1.045454545;;
16203;0;610;15;1;31;14;2;1996;8;F2;1;1;0;0;1.045454545;;
16265;0;610;15;1;31;14;2;1996;8;F2;1;1;0;0;1.045454545;;
16847;0;610;15;1;31;14;2;1996;8;F2;1;1;0;0;1.045454545;;
10136;0;7310;15;1;22;14;2;1952;16;M;3;1;0;0;1;;
110572;0;7020;15;1;1;14;2;2012;16;F2;1;1;0;0;1;;
121989;0;6209;15;1;40;14;2;2007;16;F2;1;1;0;0;1;;
13353;0;5120;15;1;31;14;2;1982;13;F2;1;1;0;0;1;;
9948;0;5110;15;1;31;14;2;1963;13;F2;1;1;0;0;1;;
11007;0;5110;15;1;31;14;2;1995;13;F2;1;1;0;0;1;;
16231;0;5110;15;1;31;14;2;1995;13;F2;1;1;0;0;1;;
26374;0;5110;15;1;22;14;2;2004;13;F2;1;1;0;0;1;;
28151;0;5110;15;1;31;14;2;2007;13;F2;1;1;0;0;1;;
109938;0;5110;15;1;22;14;2;2010;13;F2;1;1;0;0;1;;
121369;0;5110;15;1;1;14;2;2013;13;F2;1;1;0;0;1;;
152347;0;5110;15;1;22;14;2;2016;13;F2;1;1;0;0;1;;
168752;0;4530;15;1;3;14;2;2006;4;F1;1;1;0;0;1;;
119258;0;4100;15;1;22;14;2;2012;5;M;2;1;0;0;1;;
110313;0;910;15;1;15;14;2;2011;8;F2;1;1;0;0;1;;
27328;0;620;15;1;31;14;2;2006;8;F2;1;1;0;0;1;;
16421;0;610;20;1;1;14;2;1996;8;F2;1;1;0;0;1;;
47727;0;610;15;1;31;14;2;2009;8;F2;2;1;0;0;1;;
116336;0;4772;10;1;1;14;1;2013;4;M;1;1;0;0;9.684210526;;
172727;0;4630;13;2;6;14;1;2018;4;F1;1;1;0;0;8.586206897;;
178368;0;4663;17;1;1;14;1;2016;4;M;1;1;0;0;8.5;;
155823;0;1071;15;1;10;14;1;2009;11;D2;1;1;0;0;8.5;;
176359;0;4100;1;7;1;14;1;2018;5;F2;1;1;0;0;8.333333333;;
12168;0;8521;15;1;4;14;1;1923;3;F2;1;1;0;0;7.6;;
12366;0;8521;15;1;18;14;1;1939;3;F2;1;1;0;0;7.6;;
13806;0;8521;15;1;16;14;1;1952;3;F2;1;1;0;0;7.6;;
144175;0;8510;4;1;22;14;1;2008;3;F2;1;1;0;0;7.25;;
94625;0;8020;15;1;3;14;1;1999;16;F2;1;1;0;0;6.666667;;
176059;0;7120;7;1;1;14;1;2018;16;F2;1;1;0;0;6;;
175758;0;7110;15;1;15;14;1;2017;16;M;1;1;0;0;52.125;;
159854;0;4100;16;1;1;14;1;2018;5;F2;1;1;0;0;51;;
6146;0;4730;8;9;1;14;1;2006;4;F1;1;1;0;0;5.823529412;;
12650;0;8521;8;1;8;14;1;1993;3;F2;1;1;0;0;5;;
12651;0;8521;8;1;1;14;1;1968;3;F2;1;1;0;0;5;;
175921;0;4100;14;1;1;14;1;2017;5;M;2;1;0;0;41.5;;
48420;0;4730;22;6;1;14;1;2007;4;F1;1;1;0;0;4.266666667;;
15086;0;8510;18;3;3;14;1;1994;3;M;1;1;0;0;4;;
12727;0;8521;7;1;1;14;1;1964;3;F2;1;1;0;0;3.333333;;
12728;0;8521;7;1;1;14;1;1913;3;F2;1;1;0;0;3.333333;;
2313;0;8530;16;1;1;14;1;2008;14;F2;1;1;0;0;3;;
14533;0;8510;21;1;1;14;1;2015;3;M;3;1;0;0;27;;
113470;0;8299;15;1;31;14;1;2012;16;F2;1;1;0;0;25.7;;
52265;0;5022;16;1;13;14;1;2007;13;M;1;1;0;0;24;;
152517;0;7110;15;1;15;14;1;2016;16;F2;1;1;0;0;23.65;;
157394;0;4752;24;2;1;14;1;2017;4;F1;1;1;0;0;2.714285714;;
166822;0;4663;1;7;1;14;1;2016;4;F1;1;1;0;0;2.714285714;;
18031;0;9609;15;1;31;14;1;1997;16;F2;1;1;0;0;2.083333;;
47772;0;4100;15;1;22;14;1;2013;5;F2;1;1;0;0;2.042168675;;
120782;0;4100;15;1;40;14;1;2014;5;F2;1;1;0;0;2.042168675;;
121028;0;4100;15;1;22;14;1;2014;5;F2;2;1;0;0;2.042168675;;
152581;0;4100;15;1;22;14;1;2016;5;F2;1;1;0;0;2.042168675;;
159165;0;4100;15;1;31;14;1;2016;5;F2;2;1;0;0;2.042168675;;
159763;0;4100;15;1;40;14;1;2018;5;F2;2;1;0;0;2.042168675;;
159779;0;4100;15;1;41;14;1;2018;5;F2;1;1;0;0;2.042168675;;
166482;0;4100;15;1;22;14;1;2017;5;F2;2;1;0;0;2.042168675;;
175734;0;4100;15;1;20;14;1;2017;5;F2;1;1;0;0;2.042168675;;
175827;0;4100;15;1;31;14;1;2017;5;F2;1;1;0;0;2.042168675;;
27905;0;9609;7;1;1;14;1;2007;16;F2;1;1;0;0;2;;
13875;0;8521;15;1;14;14;1;1958;3;F2;1;1;0;0;16.666667;;
80662;0;8521;15;2;1;14;1;1988;3;M;1;1;0;0;16.666667;;
49551;0;4663;15;1;36;14;1;1999;4;F1;1;1;0;0;15.10087719;;
151584;0;4772;15;1;25;14;1;2013;4;F1;1;1;0;0;13.36842105;;
175760;0;8690;15;1;31;14;1;2018;16;F2;1;1;0;0;11.95;;
12736;0;8510;15;1;14;14;1;1982;3;F2;1;1;0;0;10.9375;;
13987;0;8510;15;1;3;14;1;1993;3;F2;1;1;0;0;10.9375;;
46736;0;8510;15;1;4;14;1;1933;3;F2;1;1;0;0;10.9375;;
166456;0;6820;15;1;31;14;1;2017;16;F2;1;1;0;0;1.921569;;
121899;0;6810;15;1;30;14;1;2008;16;F2;1;1;0;0;1.921569;;
14955;0;4922;15;1;15;14;1;1994;13;F2;1;1;0;0;1.525641;;
33259;0;8299;15;1;22;14;1;2008;16;F2;1;1;0;0;1.5;;
158704;0;8299;15;1;22;14;1;2015;16;F2;2;1;0;0;1.5;;
176794;0;8299;15;1;31;14;1;2014;16;F2;1;1;0;0;1.5;;
145658;0;7110;15;1;31;14;1;2015;16;F2;1;1;0;0;1.377358;;
158957;0;7110;15;1;22;14;1;2016;16;F2;1;1;0;0;1.377358;;
18212;0;1080;15;1;19;14;1;1998;11;D2;1;1;0;0;1.342105263;;
113400;0;4290;11;4;1;14;1;2013;5;F2;2;1;0;0;1.333333333;;
10043;0;8010;15;1;8;14;1;1985;16;F2;1;2;9;21;1.305556;;
152443;0;5021;16;1;1;14;1;2016;13;F2;1;1;0;0;1.285714;;
21565;0;6190;15;1;22;14;1;2000;13;F2;1;1;0;0;1.280702;;
30029;0;7110;15;1;31;14;1;2010;16;F2;1;1;0;0;1.276316;;
159192;0;7020;15;1;31;14;1;2016;16;F2;1;1;0;0;1.276316;;
18187;0;4690;15;1;32;14;1;1998;4;F1;1;1;0;0;1.241353937;;
120643;0;4690;15;1;1;14;1;2015;4;F1;1;1;0;0;1.241353937;;
159786;0;4661;15;1;31;14;1;2018;4;F1;1;1;0;0;1.241353937;;
114681;0;4659;15;1;40;14;1;2009;4;F1;1;1;0;0;1.241353937;;
11592;0;4752;15;1;8;14;1;1982;4;F1;1;1;0;0;1.230985915;;
121977;0;4290;15;1;1;14;1;2014;5;F2;1;1;0;0;1.226804124;;
152706;0;4290;15;1;31;14;1;2017;5;F2;1;1;0;0;1.226804124;;
155115;0;4290;15;1;31;14;1;2018;5;F2;1;1;0;0;1.226804124;;
159058;0;4290;15;1;22;14;1;2016;5;F2;1;1;0;0;1.226804124;;
121060;0;4220;15;1;1;14;1;2017;5;F2;1;1;0;0;1.226804124;;
152438;0;4220;15;1;30;14;1;2016;5;F2;1;1;0;0;1.226804124;;
159462;0;4220;15;1;30;14;1;2017;5;F2;1;1;0;0;1.226804124;;
29997;0;4210;15;1;22;14;1;2010;5;F2;1;1;0;0;1.226804124;;
120764;0;4210;15;1;41;14;1;2014;5;F2;2;1;0;0;1.226804124;;
154568;0;4210;15;1;31;14;1;2015;5;F2;1;1;0;0;1.226804124;;
159335;0;4210;15;1;31;14;1;2017;5;F2;1;1;0;0;1.226804124;;
159690;0;4210;15;1;22;14;1;2018;5;F2;2;1;0;0;1.226804124;;
159719;0;4210;15;1;14;14;1;2018;5;F2;2;1;0;0;1.226804124;;
159804;0;4210;15;1;22;14;1;2018;5;F2;1;1;0;0;1.226804124;;
175650;0;4210;15;1;31;14;1;2016;5;F2;1;1;0;0;1.226804124;;
178596;0;4210;15;1;31;14;1;2016;5;F2;1;1;0;0;1.226804124;;
152159;0;6209;15;1;31;14;1;2015;16;F2;1;1;0;0;1.209877;;
122132;0;6202;15;1;11;14;1;2010;16;F2;1;1;0;0;1.209877;;
134289;0;6202;15;1;40;14;1;2015;16;F2;1;1;0;0;1.209877;;
28704;0;4390;15;1;31;14;1;2009;5;F2;2;1;0;0;1.205882353;;
116135;0;4390;15;1;20;14;1;1999;5;F2;1;1;0;0;1.205882353;;
152385;0;4390;15;1;31;14;1;2016;5;F2;1;1;0;0;1.205882353;;
22529;0;4923;13;1;4;14;1;2006;13;F2;1;1;0;0;1.148148;;
112740;0;4773;12;1;1;14;1;2008;4;F1;1;1;0;0;1.142857143;;
12838;0;4730;12;1;7;14;1;1951;4;F1;1;1;0;0;1.142857143;;
16887;0;2220;15;1;3;14;1;1996;11;D2;1;1;0;0;1.111111111;;
21743;0;2220;15;1;32;14;1;2000;11;D2;1;1;0;0;1.111111111;;
176361;0;3312;15;1;31;14;1;2018;11;D2;1;1;0;0;1.0625;;
15442;0;8530;15;1;22;14;1;1997;14;F2;1;1;0;0;1.021277;;
11984;0;8521;15;1;31;14;1;1955;3;F2;1;1;0;0;1.021277;;
12015;0;8521;15;1;14;14;1;1965;3;F2;1;1;0;0;1.021277;;
12362;0;8521;15;1;14;14;1;1970;3;F2;1;1;0;0;1.021277;;
12365;0;8521;15;1;33;14;1;1969;3;F2;1;1;0;0;1.021277;;
12368;0;8521;15;1;30;14;1;1967;3;F2;1;1;0;0;1.021277;;
12424;0;8521;15;1;40;14;1;1939;3;F2;1;1;0;0;1.021277;;
12686;0;8521;15;1;31;14;1;1942;3;F2;1;1;0;0;1.021277;;
13813;0;8521;15;1;36;14;1;1979;3;F2;1;1;0;0;1.021277;;
14069;0;8521;15;1;36;14;1;1962;3;F2;1;1;0;0;1.021277;;
14105;0;8521;15;1;3;14;1;1917;3;F2;1;1;0;0;1.021277;;
14892;0;8521;15;1;22;14;1;1956;3;F2;1;1;0;0;1.021277;;
13828;0;8510;20;1;4;14;1;1967;3;F2;1;1;0;0;1.021277;;
12729;0;8530;15;1;21;14;1;1850;14;F2;1;1;0;0;1;;
13277;0;8530;12;1;1;14;1;1983;14;F2;1;1;0;0;1;;
168841;0;8530;15;5;1;14;1;1993;14;F2;1;1;0;0;1;;
12658;0;8521;8;1;5;14;1;1939;3;F2;1;1;0;0;1;;
13964;0;8521;13;1;11;14;1;1957;3;F2;1;1;0;0;1;;
13004;0;8510;7;1;2;14;1;1989;3;F2;1;1;0;0;1;;
14639;0;8299;13;1;1;14;1;1993;16;F2;1;1;0;0;1;;
31868;0;7730;4;1;1;14;1;2010;16;F2;1;1;0;0;1;;
122312;0;7730;4;1;26;14;1;2012;16;F2;2;1;0;0;1;;
110113;0;7110;20;7;1;14;1;2013;16;F2;2;1;0;0;1;;
165853;0;7110;21;11;1;14;1;2017;16;M;2;1;0;0;1;;
152595;0;7020;15;1;31;14;1;2017;16;F2;1;1;0;0;1;;
11089;0;6910;15;1;22;14;1;1974;16;F2;1;1;0;0;1;;
29114;0;6910;20;1;1;14;1;2009;16;F2;1;1;0;0;1;;
110826;0;6910;15;1;31;14;1;2013;16;F2;1;1;0;0;1;;
18528;0;6120;13;1;1;14;1;1997;13;F2;1;1;0;0;1;;
121698;0;5911;15;1;31;14;1;2014;16;F2;1;1;0;0;1;;
18045;0;5210;7;1;1;14;1;1998;13;F2;2;1;0;0;1;;
122425;0;5210;7;1;1;14;1;2014;13;F2;1;1;0;0;1;;
117119;0;4772;15;1;31;14;1;2013;4;F1;1;1;0;0;1;;
145733;0;4690;15;1;40;14;1;2013;4;M;1;1;0;0;1;;
23822;0;4661;16;1;1;14;1;2004;4;F1;1;1;0;0;1;;
12532;0;4530;8;1;8;14;1;1977;4;F1;1;1;0;0;1;;
28922;0;4390;15;1;22;14;1;2010;5;F2;1;1;0;0;1;;
159781;0;4290;22;9;1;14;1;2018;5;F2;1;1;0;0;1;;
159848;0;4290;15;1;30;14;1;2018;5;F2;2;2;8;24;1;;
120621;0;4220;13;1;1;14;1;2014;5;M;2;1;0;0;1;;
152506;0;4220;15;1;31;14;1;2016;5;M;2;1;0;0;1;;
159594;0;4220;25;1;5;14;1;2018;5;F2;1;1;0;0;1;;
159644;0;4220;8;1;4;14;1;2017;5;F2;2;1;0;0;1;;
159751;0;4220;13;1;1;14;1;2018;5;F2;1;1;0;0;1;;
175640;0;4220;14;1;1;14;1;2017;5;F2;1;1;0;0;1;;
175654;0;4220;22;9;1;14;1;2017;5;M;2;1;0;0;1;;
175994;0;4220;2;1;1;14;1;2018;5;M;2;1;0;0;1;;
152684;0;4210;10;1;2;14;1;2017;5;F2;1;1;0;0;1;;
159676;0;4210;21;11;1;14;1;2017;5;F2;1;1;0;0;1;;
159766;0;4210;2;1;5;14;1;2018;5;F2;2;1;0;0;1;;
159806;0;4210;15;1;30;14;1;2018;5;F2;2;1;0;0;1;;
176122;0;4210;10;1;1;14;1;2018;5;M;3;1;0;0;1;;
178716;0;4210;6;8;1;14;1;2017;5;M;3;1;0;0;1;;
30067;0;4100;15;1;1;14;1;2011;5;M;2;1;0;0;1;;
120689;0;4100;15;1;31;14;1;2013;5;F2;2;1;0;0;1;;
122439;0;4100;15;1;41;14;1;2017;5;F2;1;1;0;0;1;;
152073;0;4100;15;1;22;14;1;2015;5;F2;2;1;0;0;1;;
152286;0;4100;15;1;41;14;1;2016;5;F2;2;1;0;0;1;;
158254;0;4100;4;1;1;14;1;2014;5;F2;1;1;0;0;1;;
